nl_query,soql_params,schema,iucr_context
How many assaults were simple assaults (IUCR 0560) in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr = '0560'""}","year (number), iucr (text).",0560 | ASSAULT | SIMPLE
Top 5 districts with the most crimes in 2023.,"{""$group"": ""district"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2023""}","year (number), district (text).",
Top 10 wards with the most crimes in 2018.,"{""$group"": ""ward"", ""$limit"": ""10"", ""$order"": ""total DESC"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2018""}","year (number), ward (number).",
Top 5 community areas with the most crimes in 2004.,"{""$group"": ""community_area"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""community_area, count(*) as total"", ""$where"": ""year = 2004""}","year (number), community_area (text).",
Top 5 districts with the most theft incidents in 2024.,"{""$group"": ""district"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'THEFT'""}","year (number), primary_type (text), district (text).",
Top 10 wards with the most theft incidents in 2013.,"{""$group"": ""ward"", ""$limit"": ""10"", ""$order"": ""total DESC"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2013 AND primary_type = 'THEFT'""}","year (number), primary_type (text), ward (number).",
Top 5 community areas with the most theft incidents in 2012.,"{""$group"": ""community_area"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""community_area, count(*) as total"", ""$where"": ""year = 2012 AND primary_type = 'THEFT'""}","year (number), primary_type (text), community_area (text).",
Top 5 districts with the most robberies in 2023.,"{""$group"": ""district"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'ROBBERY'""}","year (number), primary_type (text), district (text).",
Top 10 wards with the most robberies in 2006.,"{""$group"": ""ward"", ""$limit"": ""10"", ""$order"": ""total DESC"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2006 AND primary_type = 'ROBBERY'""}","year (number), primary_type (text), ward (number).",
Top 5 community areas with the most robberies in 2007.,"{""$group"": ""community_area"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""community_area, count(*) as total"", ""$where"": ""year = 2007 AND primary_type = 'ROBBERY'""}","year (number), primary_type (text), community_area (text).",
Top 5 districts with the most burglaries in 2002.,"{""$group"": ""district"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2002 AND primary_type = 'BURGLARY'""}","year (number), primary_type (text), district (text).",
Top 10 wards with the most burglaries in 2005.,"{""$group"": ""ward"", ""$limit"": ""10"", ""$order"": ""total DESC"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2005 AND primary_type = 'BURGLARY'""}","year (number), primary_type (text), ward (number).",
Top 5 districts with the most battery incidents in 2016.,"{""$group"": ""district"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2016 AND primary_type = 'BATTERY'""}","year (number), primary_type (text), district (text).",
Top 10 wards with the most battery incidents in 2016.,"{""$group"": ""ward"", ""$limit"": ""10"", ""$order"": ""total DESC"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2016 AND primary_type = 'BATTERY'""}","year (number), primary_type (text), ward (number).",
Top 5 districts with the most narcotics incidents in 2019.,"{""$group"": ""district"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2019 AND primary_type = 'NARCOTICS'""}","year (number), primary_type (text), district (text).",
Top 5 districts with the most motor vehicle theft incidents in 2023.,"{""$group"": ""district"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'MOTOR VEHICLE THEFT'""}","year (number), primary_type (text), district (text).",
Top 10 wards with the most criminal damage incidents in 2017.,"{""$group"": ""ward"", ""$limit"": ""10"", ""$order"": ""total DESC"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2017 AND primary_type = 'CRIMINAL DAMAGE'""}","year (number), primary_type (text), ward (number).",
Top 5 community areas with the most assault incidents in 2024.,"{""$group"": ""community_area"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""community_area, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'ASSAULT'""}","year (number), primary_type (text), community_area (text).",
Top 5 districts with the most weapons violation incidents in 2024.,"{""$group"": ""district"", ""$limit"": ""5"", ""$order"": ""total DESC"", ""$select"": ""district, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'WEAPONS VIOLATION'""}","year (number), primary_type (text), district (text).",
Top 10 wards with the most deceptive practice incidents in 2024.,"{""$group"": ""ward"", ""$limit"": ""10"", ""$order"": ""total DESC"", ""$select"": ""ward, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'DECEPTIVE PRACTICE'""}","year (number), primary_type (text), ward (number).",
"In 2022, how many incidents had an arrest vs no arrest?","{""$group"": ""arrest"", ""$select"": ""arrest, count(*) as total"", ""$where"": ""year = 2022""}","year (number), arrest (boolean).",
"In 2021, how many theft incidents had an arrest vs no arrest?","{""$group"": ""arrest"", ""$select"": ""arrest, count(*) as total"", ""$where"": ""year = 2021 AND primary_type = 'THEFT'""}","year (number), primary_type (text), arrest (boolean).",
"In 2020, how many robbery incidents had an arrest vs no arrest?","{""$group"": ""arrest"", ""$select"": ""arrest, count(*) as total"", ""$where"": ""year = 2020 AND primary_type = 'ROBBERY'""}","year (number), primary_type (text), arrest (boolean).",
"In 2019, how many burglary incidents had an arrest vs no arrest?","{""$group"": ""arrest"", ""$select"": ""arrest, count(*) as total"", ""$where"": ""year = 2019 AND primary_type = 'BURGLARY'""}","year (number), primary_type (text), arrest (boolean).",
"In 2018, how many narcotics incidents had an arrest vs no arrest?","{""$group"": ""arrest"", ""$select"": ""arrest, count(*) as total"", ""$where"": ""year = 2018 AND primary_type = 'NARCOTICS'""}","year (number), primary_type (text), arrest (boolean).",
"In 2023, how many incidents were domestic vs non-domestic?","{""$group"": ""domestic"", ""$select"": ""domestic, count(*) as total"", ""$where"": ""year = 2023""}","year (number), domestic (boolean).",
"In 2022, how many battery incidents were domestic vs non-domestic?","{""$group"": ""domestic"", ""$select"": ""domestic, count(*) as total"", ""$where"": ""year = 2022 AND primary_type = 'BATTERY'""}","year (number), primary_type (text), domestic (boolean).",
"In 2021, how many assault incidents were domestic vs non-domestic?","{""$group"": ""domestic"", ""$select"": ""domestic, count(*) as total"", ""$where"": ""year = 2021 AND primary_type = 'ASSAULT'""}","year (number), primary_type (text), domestic (boolean).",
"In 2020, how many theft incidents were domestic vs non-domestic?","{""$group"": ""domestic"", ""$select"": ""domestic, count(*) as total"", ""$where"": ""year = 2020 AND primary_type = 'THEFT'""}","year (number), primary_type (text), domestic (boolean).",
"In 2022, among domestic incidents, how many had an arrest vs no arrest?","{""$group"": ""arrest"", ""$select"": ""arrest, count(*) as total"", ""$where"": ""year = 2022 AND domestic = true""}","year (number), domestic (boolean), arrest (boolean).",
"In 2021, among domestic battery incidents, how many had an arrest vs no arrest?","{""$group"": ""arrest"", ""$select"": ""arrest, count(*) as total"", ""$where"": ""year = 2021 AND primary_type = 'BATTERY' AND domestic = true""}","year (number), primary_type (text), domestic (boolean), arrest (boolean).",
"In 2020, among domestic assault incidents, how many had an arrest vs no arrest?","{""$group"": ""arrest"", ""$select"": ""arrest, count(*) as total"", ""$where"": ""year = 2020 AND primary_type = 'ASSAULT' AND domestic = true""}","year (number), primary_type (text), domestic (boolean), arrest (boolean).",
"For each district in 2019, how many incidents had an arrest vs no arrest?","{""$group"": ""district, arrest"", ""$order"": ""district"", ""$select"": ""district, arrest, count(*) as total"", ""$where"": ""year = 2019 AND district IS NOT NULL""}","year (number), district (text), arrest (boolean).",
"For each ward in 2020, how many robbery incidents had an arrest vs no arrest?","{""$group"": ""ward, arrest"", ""$order"": ""ward"", ""$select"": ""ward, arrest, count(*) as total"", ""$where"": ""year = 2020 AND primary_type = 'ROBBERY' AND ward IS NOT NULL""}","year (number), primary_type (text), ward (number), arrest (boolean).",
"For each community area in 2021, how many burglary incidents had an arrest vs no arrest?","{""$group"": ""community_area, arrest"", ""$order"": ""community_area"", ""$select"": ""community_area, arrest, count(*) as total"", ""$where"": ""year = 2021 AND primary_type = 'BURGLARY' AND community_area IS NOT NULL""}","year (number), primary_type (text), community_area (text), arrest (boolean).",
"For each district in 2022, how many incidents were domestic vs non-domestic?","{""$group"": ""district, domestic"", ""$order"": ""district"", ""$select"": ""district, domestic, count(*) as total"", ""$where"": ""year = 2022 AND district IS NOT NULL""}","year (number), district (text), domestic (boolean).",
"For each ward in 2023, how many battery incidents were domestic vs non-domestic?","{""$group"": ""ward, domestic"", ""$order"": ""ward"", ""$select"": ""ward, domestic, count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'BATTERY' AND ward IS NOT NULL""}","year (number), primary_type (text), ward (number), domestic (boolean).",
"For each community area in 2018, how many theft incidents were domestic vs non-domestic?","{""$group"": ""community_area, domestic"", ""$order"": ""community_area"", ""$select"": ""community_area, domestic, count(*) as total"", ""$where"": ""year = 2018 AND primary_type = 'THEFT' AND community_area IS NOT NULL""}","year (number), primary_type (text), community_area (text), domestic (boolean).",
"In 2024, for each district, how many narcotics incidents had an arrest vs no arrest?","{""$group"": ""district, arrest"", ""$order"": ""district"", ""$select"": ""district, arrest, count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'NARCOTICS' AND district IS NOT NULL""}","year (number), primary_type (text), district (text), arrest (boolean).",
How many theft incidents were reported in District 1 in 2021?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2021 AND primary_type = 'THEFT' AND district = '001'""}","year (number), primary_type (text), district (text).",
How many theft incidents resulted in an arrest in District 1 in 2021?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2021 AND primary_type = 'THEFT' AND district = '001' AND arrest = true""}","year (number), primary_type (text), district (text), arrest (boolean).",
How many theft incidents were domestic-related in District 1 in 2021?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2021 AND primary_type = 'THEFT' AND district = '001' AND domestic = true""}","year (number), primary_type (text), district (text), domestic (boolean).",
How many theft incidents were domestic-related and resulted in an arrest in District 1 in 2021?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2021 AND primary_type = 'THEFT' AND district = '001' AND domestic = true AND arrest = true""}","year (number), primary_type (text), district (text), domestic (boolean), arrest (boolean).",
How many robberies were reported in District 7 in 2020?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2020 AND primary_type = 'ROBBERY' AND district = '007'""}","year (number), primary_type (text), district (text).",
How many robberies resulted in an arrest in District 7 in 2020?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2020 AND primary_type = 'ROBBERY' AND district = '007' AND arrest = true""}","year (number), primary_type (text), district (text), arrest (boolean).",
How many robberies were domestic-related in District 7 in 2020?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2020 AND primary_type = 'ROBBERY' AND district = '007' AND domestic = true""}","year (number), primary_type (text), district (text), domestic (boolean).",
How many robberies were domestic-related and resulted in an arrest in District 7 in 2020?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2020 AND primary_type = 'ROBBERY' AND district = '007' AND domestic = true AND arrest = true""}","year (number), primary_type (text), district (text), domestic (boolean), arrest (boolean).",
How many battery incidents were reported in Ward 17 in 2019?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2019 AND primary_type = 'BATTERY' AND ward = 17""}","year (number), primary_type (text), ward (number).",
How many battery incidents resulted in an arrest in Ward 17 in 2019?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2019 AND primary_type = 'BATTERY' AND ward = 17 AND arrest = true""}","year (number), primary_type (text), ward (number), arrest (boolean).",
How many battery incidents were domestic-related in Ward 17 in 2019?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2019 AND primary_type = 'BATTERY' AND ward = 17 AND domestic = true""}","year (number), primary_type (text), ward (number), domestic (boolean).",
How many battery incidents were domestic-related and resulted in an arrest in Ward 17 in 2019?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2019 AND primary_type = 'BATTERY' AND ward = 17 AND domestic = true AND arrest = true""}","year (number), primary_type (text), ward (number), domestic (boolean), arrest (boolean).",
How many burglaries were reported in District 15 in 2022?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2022 AND primary_type = 'BURGLARY' AND district = '015'""}","year (number), primary_type (text), district (text).",
How many burglaries resulted in an arrest in District 15 in 2022?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2022 AND primary_type = 'BURGLARY' AND district = '015' AND arrest = true""}","year (number), primary_type (text), district (text), arrest (boolean).",
How many burglaries were domestic-related in District 15 in 2022?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2022 AND primary_type = 'BURGLARY' AND district = '015' AND domestic = true""}","year (number), primary_type (text), district (text), domestic (boolean).",
How many burglaries were domestic-related and resulted in an arrest in District 15 in 2022?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2022 AND primary_type = 'BURGLARY' AND district = '015' AND domestic = true AND arrest = true""}","year (number), primary_type (text), district (text), domestic (boolean), arrest (boolean).",
How many narcotics incidents were reported in Ward 42 in 2018?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2018 AND primary_type = 'NARCOTICS' AND ward = 42""}","year (number), primary_type (text), ward (number).",
How many narcotics incidents resulted in an arrest in Ward 42 in 2018?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2018 AND primary_type = 'NARCOTICS' AND ward = 42 AND arrest = true""}","year (number), primary_type (text), ward (number), arrest (boolean).",
How many assault incidents were reported in Community Area 63 in 2023?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'ASSAULT' AND community_area = '63'""}","year (number), primary_type (text), community_area (text).",
How many assault incidents resulted in an arrest in Community Area 63 in 2023?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2023 AND primary_type = 'ASSAULT' AND community_area = '63' AND arrest = true""}","year (number), primary_type (text), community_area (text), arrest (boolean).",
How many motor vehicle theft incidents were domestic-related and resulted in an arrest in District 22 in 2024?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND primary_type = 'MOTOR VEHICLE THEFT' AND district = '022' AND domestic = true AND arrest = true""}","year (number), primary_type (text), district (text), domestic (boolean), arrest (boolean).",
How many robberies involving no weapon or vehicular hijacking were reported in 2006?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2006 AND iucr IN ('0320','0325')""}","year (number), iucr (text).","0320 | ROBBERY | STRONG ARM - NO WEAPON
0325 | ROBBERY | VEHICULAR HIJACKING"
"In 2011, how many robberies involved vehicular hijacking or aggravated vehicular hijacking?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2011 AND iucr IN ('0325','0326')""}","year (number), iucr (text).","0325 | ROBBERY | VEHICULAR HIJACKING
0326 | ROBBERY | AGGRAVATED VEHICULAR HIJACKING"
How many armed robberies involving a handgun or other firearm were reported in 2018?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2018 AND iucr IN ('031A','031B')""}","year (number), iucr (text).","031A | ROBBERY | ARMED - HANDGUN
031B | ROBBERY | ARMED - OTHER FIREARM"
"In 2004, how many aggravated battery incidents involved a firearm or knife?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2004 AND iucr IN ('041A','041B','0420')""}","year (number), iucr (text).","041A | BATTERY | AGGRAVATED - HANDGUN
041B | BATTERY | AGGRAVATED - OTHER FIREARM
0420 | BATTERY | AGGRAVATED - KNIFE / CUTTING INSTRUMENT"
How many simple or non-aggravated battery incidents were recorded in 2013?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2013 AND iucr IN ('0460','0486')""}","year (number), iucr (text).","0460 | BATTERY | SIMPLE
0486 | BATTERY | DOMESTIC BATTERY SIMPLE"
"In 2009, how many burglary incidents involved unlawful or forcible entry?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2009 AND iucr IN ('0610','0620')""}","year (number), iucr (text).","0610 | BURGLARY | FORCIBLE ENTRY
0620 | BURGLARY | UNLAWFUL ENTRY"
How many theft incidents involved retail theft or theft from a motor vehicle in 2016?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2016 AND iucr IN ('0860','0710')""}","year (number), iucr (text).","0860 | THEFT | RETAIL THEFT
0710 | THEFT | THEFT FROM MOTOR VEHICLE"
"In 2021, how many theft incidents involved financial identity theft over or under 300 dollars?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2021 AND iucr IN ('0840','0841')""}","year (number), iucr (text).","0840 | THEFT | FINANCIAL IDENTITY THEFT: OVER $300
0841 | THEFT | FINANCIAL IDENTITY THEFT: $300 & UNDER"
How many narcotics possession incidents involving heroin or cocaine were reported in 2014?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2014 AND iucr IN ('2022','2023','2024','2029')""}","year (number), iucr (text).","2022 | NARCOTICS | POSSESS - COCAINE
2023 | NARCOTICS | POSSESS - HEROIN (TAN / BROWN TAR)
2024 | NARCOTICS | POSSESS - HEROIN (WHITE)
2029 | NARCOTICS | POSSESS - HEROIN (BLACK TAR)"
"In 2024, how many narcotics incidents involved manufacture or delivery of controlled substances?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2024 AND iucr IN ('2010','2012','2013','2032')""}","year (number), iucr (text).","2010 | NARCOTICS | MANUFACTURE / DELIVER - AMPHETAMINES
2012 | NARCOTICS | MANUFACTURE / DELIVER - COCAINE
2013 | NARCOTICS | MANUFACTURE / DELIVER - HEROIN (TAN / BROWN TAR)
2032 | NARCOTICS | MANUFACTURE / DELIVER - METHAMPHETAMINE"
How many weapons violations involving unlawful use or possession of firearms were reported in 2002?,"{""$select"": ""count(*) as total"", ""$where"": ""year = 2002 AND iucr IN ('141A','141B','143A','143B')""}","year (number), iucr (text).","141A | WEAPONS VIOLATION | UNLAWFUL USE - HANDGUN
141B | WEAPONS VIOLATION | UNLAWFUL USE - OTHER FIREARM
143A | WEAPONS VIOLATION | UNLAWFUL POSSESSION - HANDGUN
143B | WEAPONS VIOLATION | UNLAWFUL POSSESSION - OTHER FIREARM"
"In 2017, how many sex offense incidents involved criminal sexual abuse or aggravated criminal sexual abuse?","{""$select"": ""count(*) as total"", ""$where"": ""year = 2017 AND iucr IN ('1562','1563','1590')""}","year (number), iucr (text).","1562 | SEX OFFENSE | AGGRAVATED CRIMINAL SEXUAL ABUSE
1563 | SEX OFFENSE | CRIMINAL SEXUAL ABUSE
1590 | SEX OFFENSE | ATTEMPT AGGRAVATED CRIMINAL SEXUAL ABUSE"
